leg_id,full_name,first_name,last_name,chamber,district,party,transparencydata_id,total_received,photo_url
NCL000208,Susi H Hamilton,Susi,Hamilton,lower,18,Democratic,http://influenceexplorer.com/politician/id/5eb74c86e6334ffd882d48e8fbb83689,,http://www.ncga.state.nc.us/House/pictures/hiRes/617.jpg
NCL000003,Tom Apodaca,Tom,Apodaca,upper,48,Republican,http://influenceexplorer.com/politician/id/5f7b062e9b2545a89014e68db75b7956,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/83.jpg
NCL000220,Norman W Sanderson,Norman,Sanderson,upper,2,Republican,http://influenceexplorer.com/politician/id/62873c9cc448493f81b1ce16d8de971f,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/375.jpg
NCL000069,William D Brisson,William,Brisson,lower,22,Democratic,http://influenceexplorer.com/politician/id/6296f74099b54e53808674f49700b860,,http://www.ncga.state.nc.us/House/pictures/hiRes/558.jpg
NCL000183,Jim Davis,Jim,Davis,upper,50,Republican,http://influenceexplorer.com/politician/id/67c63cce22e54607be7e4e89f5dcf4ab,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/357.jpg
NCL000190,Wesley Meredith,Wesley,Meredith,upper,19,Republican,http://influenceexplorer.com/politician/id/6a335bb73b6442e3b78d317ef692cb27,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/305.jpg
NCL000116,Pat B Hurley,Pat,Hurley,lower,70,Republican,http://influenceexplorer.com/politician/id/6b029d65ec664244a0bc75a90b80c7e5,,http://www.ncga.state.nc.us/House/pictures/hiRes/560.jpg
NCL000203,Jimmy Dixon,Jimmy,Dixon,lower,4,Republican,http://influenceexplorer.com/politician/id/6c7dc0bf66f145b0bf5a17cdb1ff6cd4,,http://www.ncga.state.nc.us/House/pictures/hiRes/613.jpg
NCL000204,John Faircloth,John,Faircloth,lower,61,Republican,http://influenceexplorer.com/politician/id/75e4eb35ed98481e95d66c9d4b9a0cbb,,http://www.ncga.state.nc.us/House/pictures/hiRes/603.jpg
NCL000193,William Peter Rabon Dr.,William,Rabon,upper,8,Republican,http://influenceexplorer.com/politician/id/78996917406f491e9650d8b0adba25a2,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/303.jpg
NCL000248,Tamara Barringer,Tamara,Barringer,upper,17,Republican,http://influenceexplorer.com/politician/id/7a10eff1f13b4326a0b70a88f1fc4a15,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/368.jpg
NCL000209,Kelly E Hastings,Kelly,Hastings,lower,110,Republican,http://influenceexplorer.com/politician/id/7c7bf1b734dc45509c7c698fcb2f3b1d,,http://www.ncga.state.nc.us/House/pictures/hiRes/618.jpg
NCL000007,Phil Berger,Phil,Berger,upper,26,Republican,http://influenceexplorer.com/politician/id/7e0a37698fb84290924b8320283ed623,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/64.jpg
NCL000229,Larry G. Pittman,Larry G.,Pittman,lower,82,Republican,http://influenceexplorer.com/politician/id/7f7905e7496a4dcfb9dce0f9594a14c1,,http://www.ncga.state.nc.us/House/pictures/hiRes/633.jpg
NCL000122,Linda P Johnson,Linda,Johnson,lower,83,Republican,http://influenceexplorer.com/politician/id/8092b88f517746e9894b867063b8ddd1,,http://www.ncga.state.nc.us/House/pictures/hiRes/292.jpg
NCL000143,Tim Moore,Tim,Moore,lower,111,Republican,http://influenceexplorer.com/politician/id/81b987d0d9d24b55b3d7459259c59062,,http://www.ncga.state.nc.us/House/pictures/hiRes/339.jpg
NCL000200,Rayne Brown,Rayne,Brown,lower,81,Republican,http://influenceexplorer.com/politician/id/8305f1bed52d419eb4dfc3cab65ec96b,,http://www.ncga.state.nc.us/House/pictures/hiRes/610.jpg
NCL000269,Mark Brody,Mark,Brody,lower,55,Republican,http://influenceexplorer.com/politician/id/858556763abf477f9895c2773460eaa1,,http://www.ncga.state.nc.us/House/pictures/hiRes/663.jpg
NCL000270,Brian Brown,Brian,Brown,lower,9,Republican,http://influenceexplorer.com/politician/id/859ee9464b094846a8fa3a2a15a165c1,,http://www.ncga.state.nc.us/House/pictures/hiRes/655.jpg
NCL000062,Hugh Blackwell,Hugh,Blackwell,lower,86,Republican,http://influenceexplorer.com/politician/id/8694394aeb0145b9bbac60426ad4fd07,,http://www.ncga.state.nc.us/House/pictures/hiRes/580.jpg
NCL000302,Bob Steinburg,Bob,Steinburg,lower,1,Republican,http://influenceexplorer.com/politician/id/88eef3306d444ad6a7644e473ceaa495,,http://www.ncga.state.nc.us/House/pictures/hiRes/666.jpg
NCL000073,Justin P Burr,Justin,Burr,lower,67,Republican,http://influenceexplorer.com/politician/id/8b52804395024cf4a94b0fb0f981e88f,,http://www.ncga.state.nc.us/House/pictures/hiRes/582.jpg
NCL000066,James L Boles Jr.,James,Boles,lower,52,Republican,http://influenceexplorer.com/politician/id/8c5177241eae4caebdff2f4465e84414,,http://www.ncga.state.nc.us/House/pictures/hiRes/581.jpg
NCL000106,Larry D Hall,Larry,Hall,lower,29,Democratic,http://influenceexplorer.com/politician/id/8e2a904b71ec471d94e01dbd96ecea43,,http://www.ncga.state.nc.us/House/pictures/hiRes/572.jpg
NCL000275,Carla D. Cunningham,Carla D.,Cunningham,lower,106,Democratic,http://influenceexplorer.com/politician/id/8e8ca1f7cab04a49a386c05c86ef9595,,http://www.ncga.state.nc.us/House/pictures/hiRes/642.jpg
NCL000194,Gladys A Robinson,Gladys,Robinson,upper,28,Democratic,http://influenceexplorer.com/politician/id/90e9e3b3d0c9423f87f7926557c5126c,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/364.jpg
NCL000195,Daniel Soucek,Daniel,Soucek,upper,45,Republican,http://influenceexplorer.com/politician/id/92c1744980ee487399d7a8d051adbaf0,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/297.jpg
NCL000187,Ralph Hise,Ralph,Hise,upper,47,Republican,http://influenceexplorer.com/politician/id/9a0c3cf65fc340f192bb627b1d206e5d,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/298.jpg
NCL000028,Fletcher L Hartsell Jr.,Fletcher,Hartsell,upper,36,Republican,http://influenceexplorer.com/politician/id/9ab57feecaed4e36922efdfab9ed28ef,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/20.jpg
NCL000065,John M Blust,John,Blust,lower,62,Republican,http://influenceexplorer.com/politician/id/9b61480d007e402dabd5c1e1b3058745,,http://www.ncga.state.nc.us/House/pictures/hiRes/234.jpg
NCL000055,Kelly M Alexander Jr.,Kelly,Alexander,lower,107,Democratic,http://influenceexplorer.com/politician/id/9b64da44cc6147708097a774070d2077,,http://www.ncga.state.nc.us/House/pictures/hiRes/579.jpg
NCL000287,Charles Jeter,Charles,Jeter,lower,92,Republican,http://influenceexplorer.com/politician/id/9f41e7799ead41499180b34e24859823,,http://www.ncga.state.nc.us/House/pictures/hiRes/677.jpg
NCL000114,Julia C Howard,Julia,Howard,lower,79,Republican,http://influenceexplorer.com/politician/id/a01e1642a8a245c384438e4efb2fffdf,,http://www.ncga.state.nc.us/House/pictures/hiRes/53.jpg
