bill_id,title,created_at,updated_at,subjects
HB 908,White Collar Crime Investigation.,2013-04-13,2014-05-15,Legal Issues|Legislative Affairs|Drugs|Public Services|Judiciary|Crime|Housing and Property|State Agencies|Business and Consumers
HB 909,Study/Increase Assisted Living In Rural Areas.,2013-04-13,2014-03-05,Senior Issues|Legislative Affairs|Municipal and County Issues|Commerce|Public Services|Other|Health|State Agencies
HB 910,Independent Redistricting Commission.,2013-04-13,2014-03-05,Government Reform|Legislative Affairs|Municipal and County Issues|Public Services|Judiciary|Executive Branch|Campaign Finance and Election Issues|Other|State Agencies
HB 911,Adjust Highway Equity Formula.,2013-04-13,2014-03-05,"Public Services|Transportation|Budget, Spending, and Taxes"
HB 912,Voluntary Contributions to the General Fund.,2013-04-13,2014-03-05,"Legislative Affairs|State Agencies|Public Services|Budget, Spending, and Taxes"
HB 913,Voter Integrity.,2013-04-13,2014-03-05,Municipal and County Issues|Public Services|Crime|Campaign Finance and Election Issues|Technology and Communication|Military|State Agencies
HB 914,Public Safety/Gun Transfer/Background Check.,2013-04-13,2014-03-05,Commerce|Legal Issues|Public Services|Crime|State Agencies|Guns
HB 915,Road Safety Through Drivers License Access.,2013-04-13,2014-03-05,Public Services|Transportation|Legal Issues
HB 916,Survey Equal Pay Practices in Private Sector.,2013-04-13,2014-03-05,Commerce|Legislative Affairs|Public Services|Sexual Orientation and Gender Issues|Civil Liberties and Civil Rights|Labor and Employment
HB 917,Adopt Dublin Peanut Festival.,2013-04-13,2014-03-05,Recreation|Legislative Affairs|Municipal and County Issues|Public Services|Trade|Agriculture and Food|Other|Arts and Humanities
HB 918,Electioneering and IE Reporting Changes.,2013-04-13,2014-03-05,Campaign Finance and Election Issues|State Agencies|Public Services|Other|Legal Issues
HB 919,Campaign Finance Electronic Reporting.,2013-04-13,2014-03-05,Campaign Finance and Election Issues|State Agencies|Public Services|Other|Technology and Communication
HB 92,GSC Technical Corrections 2013.,2013-02-13,2014-03-05,Legislative Affairs|Public Services|Crime|Labor and Employment|Other|Health|Business and Consumers|Animal Rights and Wildlife Issues|Transportation|Legal Issues|Municipal and County Issues|Drugs|Judiciary|Executive Branch|Environmental|Arts and Humanities|Commerce|Social Issues|Family and Children Issues|Housing and Property|Energy|Campaign Finance and Election Issues|State Agencies|Education|Insurance
HB 920,Farmland Preservation/DOT Projects.,2013-04-13,2014-03-05,Transportation|Legal Issues|Legislative Affairs|Public Services|Agriculture and Food|Environmental|Housing and Property
HB 921,Utilities/Electric Smart Meters.,2013-04-13,2014-03-05,Environmental|Public Services
HB 922,Extend Federal Emergency UI.,2013-04-13,2014-03-05,"Labor and Employment|Public Services|Insurance|Legislative Affairs|Budget, Spending, and Taxes"
HB 923,Specify Time/Reinstate License/Child Support.,2013-04-13,2014-03-05,Transportation|Legal Issues|Family and Children Issues|Public Services|Judiciary|Labor and Employment
HB 924,Multicounty Economic Development Coop.,2013-04-13,2014-03-05,Commerce|Public Services|Municipal and County Issues
HB 925,LRC Study Liens/Notification of Payment.,2013-04-13,2014-03-05,Commerce|State Agencies|Public Services|Legislative Affairs|Housing and Property
HB 926,Notaries/Private Right of Action.,2013-04-13,2014-03-05,Public Services|Legal Issues|Judiciary
HB 927,UNC/William Richardson Davie Statue.,2013-04-13,2014-03-05,Municipal and County Issues|Public Services|Executive Branch|Other|State Agencies|Education
HB 928,Carolina Field of Honor/Funds.,2013-04-13,2014-03-05,"Military|Public Services|Other|Municipal and County Issues|Budget, Spending, and Taxes"
HB 929,State Motor Fleet/Increase Fuel Efficiency.,2013-04-13,2014-03-05,Commerce|Transportation|Public Services|Environmental|State Agencies|Energy
HB 93,School Calendar Flexibility/Craven County.,2013-02-13,2014-03-05,State Agencies|Education|Municipal and County Issues|Legislative Affairs
HB 930,Dog Breeding Stds./Law Enforcement Tools.,2013-04-13,2014-12-03,Commerce|Public Services|Legal Issues|Animal Rights and Wildlife Issues|Crime
HB 931,Highway Memorial Streamlining.,2013-04-13,2014-03-05,Public Services|Other|Transportation
HB 932,Freedom of Movement/Southwestern NC.,2013-04-13,2014-03-05,Housing and Property|State Agencies|Transportation|Public Services|Municipal and County Issues
HB 933,Informed Consent for HIV/AIDS Testing.,2013-04-13,2014-03-05,Legal Issues|Municipal and County Issues|Public Services|Judiciary|Sexual Orientation and Gender Issues|Other|Health|Reproductive Issues|State Agencies|Education
HB 934,Preventive Care and Payment Reform Act.,2013-04-13,2014-03-05,Commerce|Public Services|Health|Insurance|Labor and Employment
HB 935,NC Pre-K Law Changes.,2013-04-13,2014-03-05,Family and Children Issues|Legislative Affairs|Public Services|Executive Branch|Other|Health|State Agencies|Education|Legal Issues
HB 936,Wildlife Poacher Reward Fund.,2013-04-13,2014-03-05,"Legislative Affairs|Public Services|Crime|Environmental|Budget, Spending, and Taxes|State Agencies|Animal Rights and Wildlife Issues"
HB 937,Amend Various Firearms Laws.,2013-04-13,2014-03-05,Legal Issues|Family and Children Issues|Public Services|Judiciary|Crime|Agriculture and Food|State Agencies|Education|Guns|Legislative Affairs
HB 938,Clarify Wetlands Permitting.,2013-04-13,2014-03-05,Transportation|Legal Issues|Municipal and County Issues|Public Services|Environmental|Other|State Agencies|Legislative Affairs
HB 939,Restrict Railroad Height Change at Crossings.,2013-04-13,2014-03-05,Public Services|Other|Transportation
HB 94,Amend Environmental Laws 2013.,2013-02-13,2014-03-05,Transportation|Legal Issues|Municipal and County Issues|Public Services|Agriculture and Food|Environmental|Other|Health|Technology and Communication|Energy|State Agencies|Business and Consumers|Animal Rights and Wildlife Issues|Legislative Affairs
HB 941,LRC Study/Medical Use Of Cannabis.,2013-04-13,2014-03-05,Legislative Affairs|Drugs|Public Services|Health|State Agencies|Science and Medical Research
HB 942,Discharge Firearm With Reckless Disregard.,2013-04-13,2014-12-03,Public Services|Guns|Crime
HB 943,The NC Small Business Tech. & Innovation Act.,2013-04-16,2014-03-05,"Commerce|Public Services|Labor and Employment|Other|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Business and Consumers|Science and Medical Research"
HB 944,Opportunity Scholarship Act.,2013-04-16,2014-03-05,"Public Services|Other|Education|Budget, Spending, and Taxes"
HB 945,Funds/Enforce Adult Protective Services Laws.,2013-04-17,2014-03-05,"Senior Issues|Municipal and County Issues|Public Services|Health|Budget, Spending, and Taxes|State Agencies"
HB 946,Extend Qualified Business Venture Tax Credit.,2013-04-17,2014-03-05,"Commerce|Public Services|Business and Consumers|Legal Issues|Budget, Spending, and Taxes"
HB 947,Funds for Futures for Kids Program.,2013-04-17,2014-03-05,"Labor and Employment|Public Services|Education|State Agencies|Budget, Spending, and Taxes"
HB 948,Notice for Tax Levies.,2013-04-17,2014-03-05,"Commerce|Public Services|Other|Budget, Spending, and Taxes|Housing and Property"
HB 949,Market Based Recycling.,2013-04-17,2014-03-05,Commerce|Public Services|Municipal and County Issues|Environmental
HB 95,Standard of Proof/Public Safety Dispatchers.,2013-02-13,2014-03-05,Labor and Employment|Public Services|Legal Issues|Technology and Communication
HB 950,UNC/Salary increases.,2013-04-17,2014-03-05,"Labor and Employment|State Agencies|Education|Public Services|Budget, Spending, and Taxes"
HB 951,Eliminate Tax Designation for Political Party.,2013-04-17,2014-03-05,"Campaign Finance and Election Issues|Public Services|Budget, Spending, and Taxes"
HB 952,Delay Sales Tax Distrib. Change Effect. Date.,2013-04-17,2014-03-05,"Commerce|Public Services|Budget, Spending, and Taxes|Municipal and County Issues"
