leg_id,full_name,first_name,last_name,chamber,district,party,transparencydata_id,photo_url
NCL000188,Brent Jackson,Brent,Jackson,upper,10,Republican,f2f1f4e95df64b8b9297cf6b467b2af6,http://www.ncga.state.nc.us/Senate/pictures/hiRes/281.jpg
NCL000186,Kathy Harrington,Kathy,Harrington,upper,43,Republican,fb8bda76ceb94bf780ff3d766ea9773a,http://www.ncga.state.nc.us/Senate/pictures/hiRes/283.jpg
NCL000192,Louis Pate,Louis,Pate,upper,7,Republican,08cc9777a21445e3a92c4b50d1dbf7f9,http://www.ncga.state.nc.us/Senate/pictures/hiRes/273.jpg
NCL000196,Tommy Tucker,Tommy,Tucker,upper,35,Republican,a1de7a1c52684cf585ad82dd68f73967,http://www.ncga.state.nc.us/Senate/pictures/hiRes/310.jpg
NCL000028,Fletcher L Hartsell Jr.,Fletcher L.,"Hartsell, Jr.",upper,36,Republican,9ab57feecaed4e36922efdfab9ed28ef,http://www.ncga.state.nc.us/Senate/pictures/hiRes/20.jpg
NCL000036,Floyd B McKissick Jr.,Floyd B.,"McKissick, Jr.",upper,20,Democratic,5c95f9d45d5946989501a2e853e13fe9,http://www.ncga.state.nc.us/Senate/pictures/hiRes/228.jpg
NCL000050,Jerry W Tillman,Jerry W.,Tillman,upper,29,Republican,15da11a95a2d40a5b67acb03d75e7799,http://www.ncga.state.nc.us/Senate/pictures/hiRes/99.jpg
NCL000195,Daniel Soucek,Daniel,Soucek,upper,45,Republican,92c1744980ee487399d7a8d051adbaf0,http://www.ncga.state.nc.us/Senate/pictures/hiRes/297.jpg
NCL000010,Dan Blue,Dan,Blue,upper,14,Democratic,acb5bd3b66ac4b6ca21b4c3746cc3841,http://www.ncga.state.nc.us/Senate/pictures/hiRes/268.jpg
NCL000187,Ralph Hise,Ralph,Hise,upper,47,Republican,9a0c3cf65fc340f192bb627b1d206e5d,http://www.ncga.state.nc.us/Senate/pictures/hiRes/298.jpg
NCL000193,William Peter Rabon Dr.,William Peter,Rabon,upper,8,Republican,78996917406f491e9650d8b0adba25a2,http://www.ncga.state.nc.us/Senate/pictures/hiRes/303.jpg
NCL000202,Bill Cook,Bill,Cook,upper,1,Republican,b262593067cc4d7db12706fa44ca2d79,http://www.ncga.state.nc.us/Senate/pictures/hiRes/381.jpg
NCL000072,Angela R Bryant,Angela R.,Bryant,upper,4,Democratic,a34cf80039d6489e83bb80f488e0542e,http://www.ncga.state.nc.us/Senate/pictures/hiRes/382.jpg
NCL000182,Warren Daniel,Warren,Daniel,upper,46,Republican,43ec18f6eec4458b9f088e08935ceb3c,http://www.ncga.state.nc.us/Senate/pictures/hiRes/295.jpg
NCL000183,Jim Davis,Jim,Davis,upper,50,Republican,67c63cce22e54607be7e4e89f5dcf4ab,http://www.ncga.state.nc.us/Senate/pictures/hiRes/357.jpg
NCL000263,Trudy Wade,Trudy,Wade,upper,27,Republican,f3de1f1e9b664ce7923c5d3e87a8c87d,http://www.ncga.state.nc.us/Senate/pictures/hiRes/377.jpg
NCL000191,E. S. Newton,E. S.,Newton,upper,11,Republican,dfb986ebb2e54c44aa76aafb0ea2f3c0,http://www.ncga.state.nc.us/Senate/pictures/hiRes/362.jpg
NCL000012,Andrew C Brock,Andrew C.,Brock,upper,34,Republican,b70e65a6576d44018f5644d82bdb36a1,http://www.ncga.state.nc.us/Senate/pictures/hiRes/104.jpg
NCL000149,Shirley B Randleman,Shirley B.,Randleman,upper,30,Republican,ff5709fc306f426ba64ec3d79b3c8d83,http://www.ncga.state.nc.us/Senate/pictures/hiRes/374.jpg
NCL000003,Tom Apodaca,Tom,Apodaca,upper,48,Republican,5f7b062e9b2545a89014e68db75b7956,http://www.ncga.state.nc.us/Senate/pictures/hiRes/83.jpg
