organization-index,organization,indiv,pac,totals,source
78,National Amusements Inc,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
79,National Community Pharmacists Assn,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
80,Goldman Sachs,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
81,College of American Pathologists,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
82,Cummins Inc,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
83,American Bankers Assn,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
84,American College of Radiology,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
85,American Hospital Assn,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
86,American Medical Assn,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
87,American Physical Therapy Assn,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
88,American Society/Therapeutic Radiology,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
89,American Dental Assn,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
90,Boeing Co,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
91,Blue Cross/Blue Shield,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
92,Automotive Aftermarket Industry Assn,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
93,Edison Electric Institute,3000,1000,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
94,Act 1 Group,11000,0,11000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
95,Act 1 Personnel Services,7600,0,7600,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
96,9008 Group,5000,0,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
97,PRWT Services,5000,0,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
98,Capitol Broadcasting,4000,0,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
99,US Government,3250,0,3250,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
100,Allen & Co,3000,0,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
