organization-index,organization,pac,indivs,Source,
72,Ward & Smith,0,3650,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
73,Grady-White Boats,0,3500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
74,Bob Barbour Honda,0,3000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
75,Glennon,0,3000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
76,State of North Carolina,0,2750,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
77,Preston Development,0,2600,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
78,American Defense International,0,2600,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
79,Coral Bay Marina,0,2600,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
80,Davis-Lynch Inc,0,2600,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
81,Privateer Tobacco,0,2600,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
82,"Taft, Taft & Haigler",0,2600,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
83,Overseas Service Corp,0,2600,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
84,Tag Inc,0,2500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
85,Time Investment Corp,0,2250,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
86,Monk Real Estate School,0,2250,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
87,Platinum Corral,0,2000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
88,Sanderson Farms,0,2000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
89,Carolina Medical Products,0,2000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
90,"Chesterfield County, Sc",0,2000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
91,Best Value Drugs,0,2000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
92,Gephardt Group,0,2000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
93,Appraisal Inc,0,1975,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
94,"Lee, Fussell et al",0,1750,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
95,B&R Guns,0,1700,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
96,Biggs Pontiac,0,1500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
97,Citizens First Bank,0,1500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
98,Dixon Marketing,0,1500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
99,American Eel Farm,0,1500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
100,WilcoHess LLC,0,1500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
101,Sandi Group,0,1500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
102,Livingston Group,0,1500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
